NewsHeadline	Phrase	SOHuman	Pattern	NewsCategory
Estudo da UE: proteger a Natureza é altamente rentável	altamente rentável	2	adv adj	Economia e negócios
Expansão do PIB ante primeiro trimestre de 2010 coloca Brasil no quarto lugar entre Brics	ante primeiro	0	adv adj	Economia e negócios
Wanderley Guilherme dos Santos apresenta pesquisa que diz que Lula é bem melhor do que FHC	bem melhor	2	adv adj	Política e conflitos
Mato Grosso do Sul é reconhecido como livre de febre aftosa com vacinação	como livre	0	adv adj	Economia e negócios
José Alencar nomeia servidor como novo presidente da Embrapa	como novo	1	adv adj	Economia e negócios
Netanyahu é confirmado pelo Knesset como novo primeiro-ministro de Israel	como novo	1	adv adj	Política e conflitos
Parlamento paquistanês elege candidato do PPP como novo primeiro-ministro	como novo	1	adv adj	Política e conflitos
Prodi, líder da centro-esquerda italiano, é apontado como novo primeiro-ministro da Itália	como novo	1	adv adj	Política e conflitos
Taro Aso é escolhido como novo premiê do Japão	como novo	1	adv adj	Política e conflitos
Joyce Banda, vice-presidenta do Malaui, toma posse como presidenta	como presidenta	0	adv adj	Economia e negócios
Relator da Comissão do Orçamento diz ser "extremamente difícil" dar aumentos a aposentados no Brasil	extremamente difícil	-2	adv adj	Política e conflitos
Programa Mais Médicos começa a inscrever hoje profissional com CRM brasileiro	hoje profissional	0	adv adj	Saúde
EUA pressionam por apuração mais ágil no Zimbábue	mais ágil	2	adv adj	Política e conflitos
Morre aos 106 anos, o cineasta mais antigo do mundo, o português Manoel de Oliveira	mais antigo	0	adv adj	Saúde
No discurso da véspera do Dia do Trabalho, Dilma Rouseff volta a cobrar dos bancos juros mais baixos e que promete combater "malfeitos e malfeitores"	mais baixos	0	adv adj	Economia e negócios
Presidente da Câmara dos Deputados do Brasil não acredita no mensalão e defende penas mais brandas	mais brandas	0	adv adj	Política e conflitos
Segundo voo da FAB trará mais brasileiros do Suriname	mais brasileiros	0	adv adj	Política e conflitos
Infectologista aponta cuidados para evitar viroses mais comuns no inverno	mais comuns	0	adv adj	Saúde
Tabaco e álcool são as drogas mais consumidas no mundo	mais consumidas	0	adv adj	Saúde
Presidente Lula critica arcebispo por excomunhão de médicos e diz que a medicina está mais correta que a Igreja no caso da menina estuprada	mais correta	2	adv adj	Política e conflitos
Transparência Internacional: Venezuela e Paraguai são os países mais corruptos da América Latina	mais corruptos	-2	adv adj	Economia e negócios
China prende um dos artistas mais famosos do país e mantém silêncio sobre seu paradeiro	mais famosos	2	adv adj	Política e conflitos
Zapatero: "ETA está cada vez mais fraco"	mais fraco	-2	adv adj	Política e conflitos
Secretaria do Rio de Janeiro estuda dobrar doses de Tamiflu para casos mais graves	mais graves	-1	adv adj	Saúde
Luz para Todos é conquista de cidadania pela parcela mais pobre do Brasil, diz Lula	mais pobre	-2	adv adj	Economia e negócios
UE só decide em Copenhaga valor de ajuda ambiental a países mais pobres	mais pobres	-2	adv adj	Política e conflitos
Ao chegar à reunião do G20, Obama diz que Lula é o político mais popular do mundo	mais popular	2	adv adj	Economia e negócios
No último debate entre os presidenciáveis, o eleitor indeciso questiona e os candidatos respondem, entretanto, foi o debate mais tenso	mais tenso	-2	adv adj	Política e conflitos
Morre o último veterano britânico na I Guerra Mundial e considerado o homem mais velho do mundo	mais velho	0	adv adj	Política e conflitos
Veterano da Primeira Guerra Mundial se torna o homem mais velho do Mundo	mais velho	0	adv adj	Saúde
Africanos são menos inteligentes, segundo Nobel	menos inteligentes	-2	adv adj	Saúde
População de município gaúcho atingido por gripe A pede menos pânico e mais informação	menos pânico	1	adv adj	Saúde
Lula diz que a carga tributária no Brasil está muito distante das mais elevadas do mundo	muito distante	0	adv adj	Economia e negócios
Mandela apresenta progressos e está "muito melhor", diz governo sul-africano	muito melhor	2	adv adj	Política e conflitos
Justiça Eleitoral decide que "voto nulo" não invalida eleição no Brasil	não invalida	1	adv adj	Política e conflitos
Tarso Genro diz que buscas militares no Araguaia podem cumprir parcialmente objetivos	parcialmente objetivos	1	adv adj	Política e conflitos
Eleições relativamente tranquilas no Zimbábue	relativamente tranquilas	1	adv adj	Política e conflitos
Vírus da gripe suína não é mais tão perigoso, constata OMS	tão perigoso	-2	adv adj	Saúde
