NewsHeadline	Phrase	SOHuman	Pattern	NewsCategory
Petrobras se torna 3ª maior empresa das Américas em valor de mercado	3ª maior	0	adj adj	Economia e negócios
Brasil é o 5ª maior mercado de computadores	5ª maior	0	adj adj	Economia e negócios
Gripe suína já matou 557 pessoas no Brasil, que detém a 7ª maior taxa de óbitos no mundo	7ª maior	0	adj adj	Saúde
Companhia aérea japonesa entra com pedido de concordata e cancela voo no Brasil	aérea japonesa	0	adj adj	Economia e negócios
Ataque aéreo israelense em Gaza deixa mais de 150 mortos	aéreo israelense	0	adj adj	Política e conflitos
IBGE eleva previsão da safra agrícola brasileira	agrícola brasileira	0	adj adj	Economia e negócios
Há 15 anos começava a circular o real, nova moeda nacional de poder aquisitivo estável	aquisitivo estável	2	adj adj	Economia e negócios
Governo colombiano questiona corrida armamentista venezuelana	armamentista venezuelana	0	adj adj	Política e conflitos
Militantes do ETA matam guarda civil espanhol no sul da França	civil espanhol	0	adj adj	Política e conflitos
No Brasil, associação entrou com ação civil pública contra Lula	civil pública	0	adj adj	Política e conflitos
Balança comercial brasileira inicia mês com déficit de US$ 435 milhões	comercial brasileira	0	adj adj	Economia e negócios
Balança comercial brasileira tem superavit de US$ 680 milhões na segunda semana do mês	comercial brasileira	0	adj adj	Economia e negócios
Macau poderá ter escritório comercial paulistano	comercial paulistano	0	adj adj	Economia e negócios
Chávez participa da fundação de partido comunista único da Venezuela	comunista único	0	adj adj	Política e conflitos
Fundador da PIP acusado de ofensas corporais involuntárias	corporais involuntárias	0	adj adj	Saúde
Projeto que torna corrupção crime hediondo pode ser votado na próxima semana	crime hediondo	-3	adj adj	Política e conflitos
Chile pode adotar sistema de televisão digital igual ao do Brasil	digital igual	0	adj adj	Economia e negócios
Comissão diplomática europeia pode se reunir em Janeiro com as FARC	diplomática europeia	1	adj adj	Política e conflitos
Raúl Castro diz que cubanos devem se preparar para crise econômica global	econômica global	0	adj adj	Economia e negócios
Lula cobra mudanças de nações desenvolvidas para superar crise econômica mundial	econômica mundial	0	adj adj	Economia e negócios
Bolívia estreia padrão eleitoral biométrico	eleitoral biométrico	0	adj adj	Política e conflitos
Propaganda eleitoral suja Boa Vista	eleitoral suja	-2	adj adj	Política e conflitos
Lula, Cristina Kirchner e Hugo Chávez discutem crise energética argentina	energética argentina	0	adj adj	Política e conflitos
Governo americano critica lançamento de foguete espacial iraniano	espacial iraniano	0	adj adj	Política e conflitos
Governo estadual paulista anuncia fim das rebeliões no Estado de São Paulo	estadual paulista	0	adj adj	Política e conflitos
Lula fala sobre a crise e cita outra vez ex-presidentes brasileiros	ex-presidentes brasileiros	0	adj adj	Política e conflitos
Polícia Federal brasileira faz operação para combater contrabando via Internet	federal brasileira	0	adj adj	Economia e negócios
Esquadrão anti-bombas detona material suspeito encontrado no Senado Federal brasileiro	federal brasileiro	0	adj adj	Política e conflitos
Exportações de madeiras brasileiras caíram 43% depois da crise financeira mundial	financeira mundial	0	adj adj	Economia e negócios
Lula cobra da ONU solução para crise financeira mundial	financeira mundial	0	adj adj	Economia e negócios
Bric se compromete em avançar na reforma do sistema financeiro internacional	financeiro internacional	0	adj adj	Economia e negócios
Lula reafirma que sistema financeiro internacional precisa de regulação dos Estados	financeiro internacional	0	adj adj	Economia e negócios
Países divergem sobre regulação do mercado financeiro internacional	financeiro internacional	0	adj adj	Economia e negócios
Marcos Valério imprimiu 80 mil notas fiscais falsas	fiscais falsas	-2	adj adj	Política e conflitos
Primeiro mapa genoma latino revelado	genoma latino	0	adj adj	Saúde
Líbano enfrenta crise humanitária segundo funcionário das Nações Unidas	humanitária segundo	0	adj adj	Política e conflitos
Agências humanitárias internacionais expressam preocupação com o conflito Israel-Hizbollah	humanitárias internacionais	0	adj adj	Política e conflitos
Lula diz que crise imobiliária americana é única coisa que preocupa economia brasileira	imobiliária americana	0	adj adj	Economia e negócios
Apesar do atraso, transcorre com tranquilidade eleições legislativas angolanas	legislativas angolanas	0	adj adj	Política e conflitos
Novo salário mínimo brasileiro passará a valer a partir de sábado	mínimo brasileiro	0	adj adj	Economia e negócios
China planejava obter as armas nucleares Norte-Coreanas	nucleares norte-coreanas	0	adj adj	Política e conflitos
O canal oficial argentino censurou o vice-presidente em um festival	oficial argentino	0	adj adj	Política e conflitos
Pior multinacional do Mundo, a brasileira Vale, opera em Moçambique	pior multinacional	-1	adj adj	Saúde
Cruz Vermelha alerta países pobres para uma possível segunda onda da doença	possível segunda	0	adj adj	Saúde
Divulgada pesquisa CNI/IBOPE realizada entre 29 e 31 de Julho referente à eleição presidencial brasileira de 2006	presidencial brasileira	0	adj adj	Política e conflitos
Serra lidera pesquisas para a sucessão presidencial brasileira de 2010	presidencial brasileira	0	adj adj	Política e conflitos
Campanha presidencial paraguaia chega à reta final	presidencial paraguaia	0	adj adj	Política e conflitos
Brasil poderá comprar títulos da dívida pública portuguesa	pública portuguesa	0	adj adj	Economia e negócios
Paulo Bernardo faz apelo para que população receba recenseadores	receba recenseadores	0	adj adj	Economia e negócios
Produtores rurais argentinos retomam manifestações	rurais argentinos	0	adj adj	Economia e negócios
Vigilância sanitária russa libera exportação de carne de seis frigoríficos brasileiros	sanitária russa	0	adj adj	Política e conflitos
Petrobras investirá mais de R$ 1 bi até 2011 para equipar parque tecnológico brasileiro	tecnológico brasileiro	0	adj adj	Economia e negócios
Revisão do PIB chinês torna o país a terceira maior economia do mundo	terceira maior	0	adj adj	Economia e negócios
ANP anuncia descoberta de campo que pode ser o terceiro maior do mundo	terceiro maior	0	adj adj	Economia e negócios
Irlanda vai nacionalizar o terceiro maior banco do país	terceiro maior	0	adj adj	Economia e negócios
Presidente Levy Mwanawasa da Zâmbia morre aos 59 anos de acidente vascular cerebral	vascular cerebral	0	adj adj	Política e conflitos
