news source	News Category	News Healine
pt.wikinews.org	Economia e negócios	"Leite estragado" em tribunal de São Tomé e Príncipe
pt.wikinews.org	Economia e negócios	1,6 milhão de brasileiros voltaram para as classes D e E em 2008
pt.wikinews.org	Economia e negócios	15 de setembro de 2008: quebra do Lehman Brothers dá início à crise que abalou o mundo
pt.wikinews.org	Economia e negócios	260 pessoas podem ser reféns de piratas na costa da Somália
pt.wikinews.org	Economia e negócios	7 Estados brasileiros detém 75% do PIB nacional
pt.wikinews.org	Economia e negócios	A torcha olímpica do Rio 2016 pecorrerá 250 cidades do Brasil
pt.wikinews.org	Economia e negócios	Acionistas aprovam incorporação do Besc e Bescri pelo Banco do Brasil
pt.wikinews.org	Economia e negócios	Ações da oposição boliviana afetam parcialmente envio de gás ao Brasil, admite Petrobras
pt.wikinews.org	Economia e negócios	Acordo de livre comércio entre Brasil e México é tabu, diz Calderón
pt.wikinews.org	Economia e negócios	Acordo de livre comércio entre Mercosul e Israel entra em vigor amanhã
pt.wikinews.org	Economia e negócios	Acordo entre Brasil e Egito deve incrementar exportações de carne
pt.wikinews.org	Economia e negócios	Acordos do Fórum de São Paulo dificultam ações de Lula em relação a Morales
pt.wikinews.org	Economia e negócios	Adobe vai adquirir a Macromedia por 3,4 bilhões de dólares
pt.wikinews.org	Economia e negócios	Aécio Neves anuncia ampliação do Travessia a mais 70 cidades
pt.wikinews.org	Economia e negócios	Aeroporto de Buenos Aires registra 22 vôos com atraso
pt.wikinews.org	Economia e negócios	Aeroportuários brasileiros entram em greve por tempo indeterminado
pt.wikinews.org	Economia e negócios	Agência de risco Moody’s concede “grau de investimento” para a dívida pública do Brasil; Henrique Meirelles diz que a classificação significa que o país está saindo forte da crise
pt.wikinews.org	Economia e negócios	Agência francesa assina acordo para financiar linha de trem entre Cumbica e São Paulo
pt.wikinews.org	Economia e negócios	Agência rebaixa nota de risco de sete bancos europeus e americanos
pt.wikinews.org	Economia e negócios	Agência Standard & Poor's concede grau de investimento ao Brasil
pt.wikinews.org	Economia e negócios	Agricultura é principal atividade em 59% das terras cadastradas na Amazônia
pt.wikinews.org	Economia e negócios	Ajuda financeira aos países pobres pode ficar de fora de acordo sobre clima, diz Ban Ki-moon
pt.wikinews.org	Economia e negócios	Além da França, a Sérvia e a Grécia têm dia de eleições
pt.wikinews.org	Economia e negócios	Alemães vão investir R$ 45 milhões no aproveitamento de casca de babaçu no Maranhão
pt.wikinews.org	Economia e negócios	Algodão colorido da Paraíba pode ter indicação de procedência do Inpi
pt.wikinews.org	Economia e negócios	AMD e ATI anunciam planos de fusão
pt.wikinews.org	Economia e negócios	American Airlines cancela 3,1 mil vôos nos EUA em quatro dias
pt.wikinews.org	Economia e negócios	Amorim diz que não há tensão nas relações entre Brasil e Estados Unidos
pt.wikinews.org	Economia e negócios	Amorim diz que Petrobras pode deixar Equador caso não haja acordo com o governo
pt.wikinews.org	Economia e negócios	Anac autoriza voos para outras partes do Brasil a partir do Aeroporto Santos Dumont
pt.wikinews.org	Economia e negócios	Analistas dizem que novo governo de Moçambique tem que diminuir desigualdades
pt.wikinews.org	Economia e negócios	Analistas garantem pouco impacto em emergentes
pt.wikinews.org	Economia e negócios	Anatel autoriza compra da operadora Brasil Telecom pela OI
pt.wikinews.org	Economia e negócios	Anatel coloca condições sobre permissão de fusão das empresas OI e Brasil Telecom
pt.wikinews.org	Economia e negócios	Anatel proíbe Telefonica de vender Speedy por causa de interrupções no serviço
pt.wikinews.org	Economia e negócios	Andrea Pininfarina é vítima de acidente de moto
pt.wikinews.org	Economia e negócios	Aneel comunica que leilão de Belo Monte está mantido
pt.wikinews.org	Economia e negócios	Angola e Brasil estendem visto de negócios para dois anos
pt.wikinews.org	Economia e negócios	Angola e Congos à beira de uma crise político-diplomática
pt.wikinews.org	Economia e negócios	Angola perdoa dívida da Guiné-Bissau e viabiliza programação da TV pública
pt.wikinews.org	Economia e negócios	Angola: reestruturação da TAGG causa nervosismo
pt.wikinews.org	Economia e negócios	Anheuser-Busch é adquirida pela InBev
pt.wikinews.org	Economia e negócios	Anonymous ataca cibersites do Governo dos Estados Unidos em represália ao fechamento de Megaupload
pt.wikinews.org	Economia e negócios	ANP anuncia descoberta de campo que pode ser o terceiro maior do mundo
pt.wikinews.org	Economia e negócios	ANP vende em leilão 460 milhões de litros de biodiesel com deságio médio de 1,48%
pt.wikinews.org	Economia e negócios	Antiga Varig torna-se Flex
pt.wikinews.org	Economia e negócios	Anvisa defende simplificação de impostos sobre medicamentos
pt.wikinews.org	Economia e negócios	Anvisa lança selo óptico para medicamentos
pt.wikinews.org	Economia e negócios	Ao chegar à reunião do G20, Obama diz que Lula é o político mais popular do mundo
pt.wikinews.org	Economia e negócios	AOL adia em um mês o fim do Netscape
pt.wikinews.org	Economia e negócios	Apagão afeta dez estados brasileiros
pt.wikinews.org	Economia e negócios	Após reunião com o governo, hoteleiros devem diminuir em 20% os preços das diárias de hospedagem para a Rio+20; autoridades internacionais confirmam presença no evento
pt.wikinews.org	Economia e negócios	Aposentados sofrem com "golpe do empréstimo"
pt.wikinews.org	Economia e negócios	Apple investiga denúncia de trabalho escravo na China
pt.wikinews.org	Economia e negócios	Aprovação de Lula e do governo subiu em maio, diz pesquisa CNT/Sensus
pt.wikinews.org	Economia e negócios	Aprovado a primeira etapa de impostos sobre a mineração na Austrália
pt.wikinews.org	Economia e negócios	Aprovado desdobramento de ações da Petrobras
pt.wikinews.org	Economia e negócios	Aquisições:Carrefour compra Atacadão
pt.wikinews.org	Economia e negócios	Área plantada de grãos no Brasil deve superar em 1,9% a do ciclo passado, calcula Conab
pt.wikinews.org	Economia e negócios	Argentina começa a expropriação das Aerolineas Argentinas
pt.wikinews.org	Economia e negócios	Argentina decreta estado de emergência agrícola por seca
pt.wikinews.org	Economia e negócios	Argentina faz acordo para comprar 20 aviões fabricados pela Embraer
pt.wikinews.org	Economia e negócios	Argentina sedia Cúpula Ibero-Americana de Chefes de Estado e de Governo
pt.wikinews.org	Economia e negócios	Argentina, México e Espanha abordam perspectivas econômicas na ONU
pt.wikinews.org	Economia e negócios	Arranque do “Corredor de Nacala” em Moçambique
pt.wikinews.org	Economia e negócios	Arrecadação de impostos bate recorde em outubro no Brasil
pt.wikinews.org	Economia e negócios	Assentamento da Usina Santo Antônio agrada ribeirinhos, mas falta de título de posse preocupa
pt.wikinews.org	Economia e negócios	Assinado o Tratado de Reforma institucional da União Europeia
pt.wikinews.org	Economia e negócios	Assinado protocolo para construção de ferrovia entre Brasília e Goiânia
pt.wikinews.org	Economia e negócios	Atrasos atingem quase 10% dos voos nos principais aeroportos, indica Infraero
pt.wikinews.org	Economia e negócios	Aumenta apoio no Senado, a criação da CPMI para investigar parlamentares envolvidos com Carlinhos Cachoeira
pt.wikinews.org	Economia e negócios	Aumento da demanda interna leva refinarias da Petrobras a operar com 90% de sua capacidade instalada
pt.wikinews.org	Economia e negócios	Autoridades espanholas prendem Yuriy Kolobov, ex-ministro das Finanças de Ucrânia
pt.wikinews.org	Economia e negócios	Avião de carga cai e mata seis pessoas nos Emirados Árabes Unidos
pt.wikinews.org	Economia e negócios	Balança comercial brasileira inicia mês com déficit de US$ 435 milhões
pt.wikinews.org	Economia e negócios	Balança comercial brasileira tem superavit de US$ 680 milhões na segunda semana do mês
pt.wikinews.org	Economia e negócios	Balança comercial fecha a semana com superávit de US$ 653 milhões
pt.wikinews.org	Economia e negócios	Ban Ki-Moon diz que produção mundial de alimentos precisa crescer 50% até 2030
pt.wikinews.org	Economia e negócios	Bancários do Brasil entram em greve por tempo indeterminado
pt.wikinews.org	Economia e negócios	Bancários mantém greve
pt.wikinews.org	Economia e negócios	Banco Central do Brasil aumenta para 6,2% a projeção da inflação e revê para 5,6% o crescimento do PIB para este ano
pt.wikinews.org	Economia e negócios	Banco Central do Brasil cria regras para proteção do consumidor bancário
pt.wikinews.org	Economia e negócios	Banco Central do Brasil faz leilões para venda direta de dólar depois de cinco anos
pt.wikinews.org	Economia e negócios	Banco Central do Brasil mantém em 13,75% a taxa básica de juros do mercado
pt.wikinews.org	Economia e negócios	Banco Central do Brasil reduz os juros para 8,75% ao ano
pt.wikinews.org	Economia e negócios	Banco Central do Zimbábue lança cédula de 50 milhões de dólares que não tem valor
pt.wikinews.org	Economia e negócios	Banco Central lança novas cédulas do real
pt.wikinews.org	Economia e negócios	Banco Central retira parte da remuneração do compulsório sobre depósitos a prazo
pt.wikinews.org	Economia e negócios	Banco Central teme que valores e projeção da inflação se distanciem da meta
pt.wikinews.org	Economia e negócios	Banco da Inglaterra corta juros em 1,5%
pt.wikinews.org	Economia e negócios	Banco do Brasil anuncia incorporação do Banco do Estado do Piauí
pt.wikinews.org	Economia e negócios	Banco do Brasil atinge R$ 200 bilhões de créditos concedidos no país e no exterior
pt.wikinews.org	Economia e negócios	Banco do Brasil compra a Nossa Caixa
pt.wikinews.org	Economia e negócios	Banco do Brasil compra metade do Banco Votorantim
pt.wikinews.org	Economia e negócios	Banco do Brasil destina mais R$ 8,2 bilhões para oferta de crédito a pessoas físicas
pt.wikinews.org	Economia e negócios	Banco do Brasil e BNDES abrem escritório no Uruguai
pt.wikinews.org	Economia e negócios	Banco do Brasil irá operar nos EUA
pt.wikinews.org	Economia e negócios	Banco do Brasil lucra R$ 1,7 bilhão no primeiro trimestre de 2009
pt.wikinews.org	Economia e negócios	Banco do Brasil negocia a incorporação da Nossa Caixa
pt.wikinews.org	Economia e negócios	Banco do Brasil tem lucro 37% maior no terceiro trimestre
pt.wikinews.org	Economia e negócios	Banco do Brasil tem lucro líquido de R$ 2,3 bilhões no primeiro trimestre
pt.wikinews.org	Economia e negócios	Banco do Brasil vai incorporar quase 17 mil funcionários da Nossa Caixa
pt.wikinews.org	Economia e negócios	Banco do Brasil volta a ser o maior banco da América Latina
pt.wikinews.org	Economia e negócios	Banco do Japão reduz taxa básica para 0,1%
pt.wikinews.org	Economia e negócios	Banco japonês Nomura compra unidades do Lehman no Japão e Europa
pt.wikinews.org	Economia e negócios	Banco Mundial: Guiné-Bissau presa numa armadilha
pt.wikinews.org	Economia e negócios	Banco Português de Negócios é nacionalizado
pt.wikinews.org	Economia e negócios	Bancos Centrais anunciam uma junta de esforços para liquidar dívidas
pt.wikinews.org	Economia e negócios	Bancos de montadoras terão R$ 4 bilhões do BB
pt.wikinews.org	Economia e negócios	Barack Obama anuncia sua equipe econômica
pt.wikinews.org	Economia e negócios	Barack Obama é o Nobel da Paz de 2009
pt.wikinews.org	Economia e negócios	Barack Obama nomeia Bill Richardson como secretário de Comércio
pt.wikinews.org	Economia e negócios	Barco carregado com 700 litros de óleo naufraga no litoral fluminense
pt.wikinews.org	Economia e negócios	BB apresenta plataforma virtual a importadores portugueses
pt.wikinews.org	Economia e negócios	BC afrouxa a política monetária e Selic cai para 12,75% ao ano
pt.wikinews.org	Economia e negócios	BES vai "agir em conformidade" contra decisão dos accionistas do BESA
pt.wikinews.org	Economia e negócios	Bill Gates diz que existe liberdade de informação na China
pt.wikinews.org	Economia e negócios	BM&FBovespa e Cepea lançam indicador de preço do etanol hidratado
pt.wikinews.org	Economia e negócios	BNDES já aplicou R$ 1,1 bilhão no programa de concessão de rodovias federais
pt.wikinews.org	Economia e negócios	Bolívia assina acordo antidrogas com Brasil e EUA
pt.wikinews.org	Economia e negócios	Bolívia pode pressionar Argentina para não revender gás natural ao Chile
pt.wikinews.org	Economia e negócios	Bolívia promete normalizar fornecimento de gás ao Brasil e à Argentina
pt.wikinews.org	Economia e negócios	Bolsa encerra 2008 com queda de 41,2% e real perde 31,3% frente ao dólar
pt.wikinews.org	Economia e negócios	Bolsas asiáticas terminam a semana em baixa devido às incertezas do mercado norte-americano.
pt.wikinews.org	Economia e negócios	Bolsas de valores despencam, com notícias da falência do Banco Lehman Brothers nos Estados Unidos
pt.wikinews.org	Economia e negócios	Bomba explode em sede da Fedecámaras em Caracas
pt.wikinews.org	Economia e negócios	Bonecos de Chávez e Uribe são novidade para o Natal
pt.wikinews.org	Economia e negócios	Bovespa e BM&F formarão uma só bolsa de valores
pt.wikinews.org	Economia e negócios	Bovespa fecha em novo recorde e Dólar acumula queda de quase 3% na semana.
pt.wikinews.org	Economia e negócios	Bovespa fecha em queda e acumula perda de 7,22% no ano
pt.wikinews.org	Economia e negócios	BR 319 só sai com cumprimento integral das condições ambientais, diz Carlos Minc
pt.wikinews.org	Economia e negócios	Bradesco obtém lucro recorde no 1º trimestre deste ano.
pt.wikinews.org	Economia e negócios	Brasil : greve de ônibus em Curitiba e região metropolitana entra no segundo dia
pt.wikinews.org	Economia e negócios	Brasil amplia restrição à importação de calçados chineses
pt.wikinews.org	Economia e negócios	Brasil assume comando da Rio+20 decidido a acabar com controvérsias
pt.wikinews.org	Economia e negócios	Brasil concede benefício da aposentadoria para invasores de terra
pt.wikinews.org	Economia e negócios	Brasil defende que subsídios agrícolas dos EUA sejam limitados a US$ 13 bilhões
pt.wikinews.org	Economia e negócios	Brasil deve ter 44,5% do mercado internacional de carnes até 2020
pt.wikinews.org	Economia e negócios	Brasil e Argentina aumentam limite de crédito recíproco para US$ 1,5 bilhão
pt.wikinews.org	Economia e negócios	Brasil e Argentina começam a operar com moedas locais em outubro
pt.wikinews.org	Economia e negócios	Brasil e Argentina discutem integração produtiva
pt.wikinews.org	Economia e negócios	Brasil e Argentina farão acordo nuclear
pt.wikinews.org	Economia e negócios	Brasil e Argentina firmam acordos de cooperação
pt.wikinews.org	Economia e negócios	Brasil e Estados Unidos ampliam cooperação na área de ciência e tecnologia
pt.wikinews.org	Economia e negócios	Brasil e Finlândia discutem biocombustíveis, meio ambiente e ciência e tecnologia
pt.wikinews.org	Economia e negócios	Brasil e França discutem ampliação do comércio bilateral
pt.wikinews.org	Economia e negócios	Brasil e França fecham contratos para a compra de helicópteros
pt.wikinews.org	Economia e negócios	Brasil e México fecham novo acordo automotivo
pt.wikinews.org	Economia e negócios	Brasil é o 5ª maior mercado de computadores
pt.wikinews.org	Economia e negócios	Brasil e Paraguai discutem comércio bilateral
pt.wikinews.org	Economia e negócios	Brasil e Paraguai não fecham acordo sobre Itaipu
pt.wikinews.org	Economia e negócios	Brasil é penúltimo na América do Sul em participação da mulher na política, diz ONU
pt.wikinews.org	Economia e negócios	Brasil e Trinidad e Tobago assinam termos de cooperação na área de energética
pt.wikinews.org	Economia e negócios	Brasil e União Européia discutem plano de parceria estratégica
pt.wikinews.org	Economia e negócios	Brasil e Uruguai negociam abertura de mercado para carnes brasileiras
pt.wikinews.org	Economia e negócios	Brasil e Venezuela encerram dia de reuniões sem acordo sobre refinaria
pt.wikinews.org	Economia e negócios	Brasil e Vietnã firmam acordo de cooperação científica e de combate à fome
pt.wikinews.org	Economia e negócios	Brasil entra em recessão técnica
pt.wikinews.org	Economia e negócios	Brasil espera estar livre de aftosa até o final de 2010, diz ministro da Agricultura
pt.wikinews.org	Economia e negócios	Brasil está mais bem preparado para Copa que África do Sul, dizem observadores
pt.wikinews.org	Economia e negócios	Brasil fecha ano com a menor dívida desde 1998
pt.wikinews.org	Economia e negócios	Brasil ganha na OMC direito de retaliar Estados Unidos por causa de subsídio ao algodão
pt.wikinews.org	Economia e negócios	Brasil insiste na venda de aviões à Venezuela
pt.wikinews.org	Economia e negócios	Brasil mais uma vez é líder em reciclagem de latas de alumínio
pt.wikinews.org	Economia e negócios	Brasil passa a ter saldo credor contra dívida externa
pt.wikinews.org	Economia e negócios	Brasil pode passar de importador a exportador de petróleo com pré-sal, avalia Dilma
pt.wikinews.org	Economia e negócios	Brasil poderá comprar títulos da dívida pública portuguesa
pt.wikinews.org	Economia e negócios	Brasil sai da recessão, com PIB subindo 1,9% no segundo trimestre do ano
pt.wikinews.org	Economia e negócios	Brasil se nega a renegociar o Tratado de Itaipu
pt.wikinews.org	Economia e negócios	Brasil tem em dezembro de 2008, maior perda de empregos desde maio de 1999
pt.wikinews.org	Economia e negócios	Brasil terá US$2 trilhões em investimentos até 2014
pt.wikinews.org	Economia e negócios	Brasil ultrapassa a França e torna-se o sexto maior produtor de automóveis
pt.wikinews.org	Economia e negócios	Brasil ultrapassa Reino Unido e se torna a sexta maior economia do mundo
pt.wikinews.org	Economia e negócios	Brasil vai comprar bônus do FMI no valor de US$ 10 bilhões
pt.wikinews.org	Economia e negócios	Brasil vai emprestar energia elétrica à Argentina
pt.wikinews.org	Economia e negócios	Brasil vai fornecer aviões a Cabo Verde
pt.wikinews.org	Economia e negócios	Brasil vai propor o uso de mais moedas locais no comércio entre os países do Mercosul
pt.wikinews.org	Economia e negócios	Brasil vai retormar projetos com a Bolívia
pt.wikinews.org	Economia e negócios	Brasil vence ação contra Estados Unidos, na OMC, sobre suco de laranja
pt.wikinews.org	Economia e negócios	Brasil volta a ocupar presidência do Mercosul em julho
pt.wikinews.org	Economia e negócios	Brasil, Índia e África do Sul discutem assentamentos urbanos
pt.wikinews.org	Economia e negócios	Brasil: CMN aprova medida do BC que aumenta recursos da poupança para habitação
pt.wikinews.org	Economia e negócios	Brasil: COI assegura que Rio de Janeiro mostra avanços após os atrasos nas obras
pt.wikinews.org	Economia e negócios	Brasil: Ministério Público Federal de Goiás denuncia 81 pessoas por envolvimento em jogo ilegal, entre eles Carlinhos Cachoeira
pt.wikinews.org	Economia e negócios	Brasil: Transações do país com o exterior têm déficit de US$ 3,8 bilhões em janeiro
pt.wikinews.org	Economia e negócios	Brasil: TRE manda tirar do ar programação de rádios e TVs no Amapá por violação eleitoral
pt.wikinews.org	Economia e negócios	Brasileira Varig e Portuguesa TAP em negociação
pt.wikinews.org	Economia e negócios	Brasileiro vence mexicano na disputa pela direção-geral da OMC
pt.wikinews.org	Economia e negócios	Brasileiros criam "impostômetro"
pt.wikinews.org	Economia e negócios	Brasileiros e portugueses participam no Rio de fórum econômico
pt.wikinews.org	Economia e negócios	Bric se compromete em avançar na reforma do sistema financeiro internacional
pt.wikinews.org	Economia e negócios	Briga sobre quem será o sucessor do DVD parece estar próxima do fim
pt.wikinews.org	Economia e negócios	Bulas terão letras maiores e serão específicas para pacientes e profissionais da saúde
pt.wikinews.org	Economia e negócios	Bush defende reformulação do FMI e do Banco Mundial
pt.wikinews.org	Economia e negócios	Bush diz a Lula que Brasil tem uma plataforma sólida para enfrentar crise
pt.wikinews.org	Economia e negócios	Bush diz que apesar de divergências sobre plano de socorro, ação é necessária
pt.wikinews.org	Economia e negócios	Bush propõe um pacote de crescimento de 150 bilhões de dólares
pt.wikinews.org	Economia e negócios	Cacciola chega ao Rio e desembarca longe da imprensa
pt.wikinews.org	Economia e negócios	Cacciola deixa Mônaco e segue para o Brasil escoltado por policiais
pt.wikinews.org	Economia e negócios	Cacciola será transferido ainda hoje para presídio de segurança máxima no Rio
pt.wikinews.org	Economia e negócios	Cadeira permanente para o Brasil em conselho da ONU depende de reforma
pt.wikinews.org	Economia e negócios	Cai projeção de analistas para crescimento da economia em 2010
pt.wikinews.org	Economia e negócios	Calçado brasileiro perde mercados e faturamento no exterior a cada ano; Fabricantes brasileiros disputam com o mercado italiano
pt.wikinews.org	Economia e negócios	Câmara aprova MP que autoriza União conceder subvenção ao BNDES
pt.wikinews.org	Economia e negócios	Câmara conclui votação da MP 465 que trata de subvenção econômica ao BNDES
pt.wikinews.org	Economia e negócios	Câmara dos deputados brasileira aprova novo acordo tarifário para Itaipu
