NewsHeadline	Phrase	SOHuman	Pattern	NewsCategory
Agora são três as denúncias de dinheiro do exterior para a campanha de Lula	agora são	0	adv v-fin	Política e conflitos
Esporte paraolímpico ainda enfrenta dificuldades para crescer por falta de patrocínio	ainda enfrenta	0	adv v-fin	Política e conflitos
Fernando Lugo reconhece filho da época em que ainda era bispo	ainda era	0	adv v-fin	Política e conflitos
Obama ainda lidera corrida Democrata	ainda lidera	1	adv v-fin	Política e conflitos
McCain é o candidato Republicano; Hillary ainda mantém fôlego	ainda mantém	0	adv v-fin	Política e conflitos
Entrevista de Jarbas Vasconcelos à revista Veja ainda provoca polêmica	ainda provoca	0	adv v-fin	Política e conflitos
Brasil ainda registra muitos casos de diagnóstico tardio da hanseníase	ainda registra	0	adv v-fin	Saúde
Guebuza inicia amanhã visita a Itália	amanhã visita	0	adv v-fin	Economia e negócios
Brasil está mais bem preparado para Copa que África do Sul, dizem observadores	bem preparado	1	adv v-pcp	Política e conflitos
Funcionários descrevem como fraudavam o leite	como fraudavam	0	adv v-fin	Saúde
Hospital diz que são 28 as vítimas fatais em Qana, não 56 como havia sido divulgado	como havia sido divulgado	0	adv v-fin v-pcp v-pcp	Política e conflitos
Cristina Kirchner toma posse como presidenta da Argentina para mais quatro anos de mandato	como presidenta	0	adv v-fin	Economia e negócios
Deputado espanhol é expulso da Venezuela depois criticar CNE e Chávez	depois criticar	-1	adv v-inf	Política e conflitos
Hoje ocorrem eleições no Paquistão	hoje ocorrem	0	adv v-fin	Política e conflitos
Prévias americanas de hoje podem ser decisivas	hoje podem ser	0	adv v-fin v-inf	Política e conflitos
BNDES já aplicou R$ 1,1 bilhão no programa de concessão de rodovias federais	já aplicou	0	adv v-fin	Economia e negócios
Dólar segue em desvalorização e em 8 dias já caiu 5%	já caiu	0	adv v-fin	Economia e negócios
Forças de Defesa de Israel dizem que Hizbollah já começa a ficar sem mísseis	já começa a ficar	0	adv v-fin prp v-inf	Política e conflitos
Impostos no Brasil já consomem 41,6% do PIB diz IBPT	já consomem	0	adv v-fin	Economia e negócios
Obama já é presidente dos Estados Unidos	já é	0	adv v-fin	Política e conflitos
Já entraram em vigor novas classificações energéticas nos electrodomésticos	já entraram	0	adv v-fin	Política e conflitos
Senador Antonio Carlos Magalhães diz que reeleição de Lula já era	já era	0	adv v-fin	Política e conflitos
Versão em xarope do Tamiflu para crianças já está sendo distribuída no DF	já está sendo distribuída	0	adv v-fin v-ger v-pcp	Saúde
Fitas de Santo André já estão com a CPI dos Bingos	já estão	0	adv v-fin	Política e conflitos
Guerra civil na Síria já fez três milhões de refugiados	já fez	0	adv v-fin	Política e conflitos
Lula disse que foco de febre aftosa já foi debelado	já foi debelado	2	adv v-fin v-pcp	Economia e negócios
Embaixador venezuelano em Washington já foi informado de sua expulsão	já foi informado	2	adv v-fin v-pcp	Política e conflitos
OMS informa que dois terços das amostras do vírus mortal já foram destruídas	já foram destruídas	0	adv v-fin v-pcp	Saúde
Jornal do Brasil já havia denunciado pagamento a deputados em 2004	já havia denunciado	-1	adv v-fin v-pcp	Política e conflitos
Prefeito do Rio já havia denunciado pagamento a deputados	já havia denunciado	-1	adv v-fin v-pcp	Política e conflitos
Chuvas no Maranhão já mataram sete e afetaram 155 mil pessoas	já mataram	-3	adv v-fin	Política e conflitos
Gripe suína já matou 557 pessoas no Brasil, que detém a 7ª maior taxa de óbitos no mundo	já matou	-3	adv v-fin	Saúde
