NewsHeadline	Phrase	SOHuman	Pattern	NewsCategory
1,5 mil protestam em frente ao Congesso por melhores condições de trabalho	condições de trabalho	1	n prp n	Política e conflitos
1,6 milhão de brasileiros voltaram para as classes D e E em 2008	milhão de brasileiros	0	n prp n	Economia e negócios
111 países aprovam acordo sobre bombas fragmentadas	acordo sobre bombas	1	n prp n	Política e conflitos
15 de setembro de 2008: quebra do Lehman Brothers dá início à crise que abalou o mundo	início à crise	-1	n prp n	Economia e negócios
260 pessoas podem ser reféns de piratas na costa da Somália	reféns de piratas	-2	n prp n	Economia e negócios
40 mil anos de prisão por atentados	anos de prisão	-1	n prp n	Política e conflitos
40 mortos, 300.000 desabrigados nas inundações no Brasil	desabrigados nas inundações	-2	n prp n	Política e conflitos
400 funcionários da Câmara podem estar ligados ao esquema que alimentou o mensalão	funcionários da câmara	0	n prp n	Política e conflitos
45 pessoas morreram na nova onda de violência no Quênia	onda de violência	-2	n prp n	Política e conflitos
A crise da dengue no Rio ataca aos europeus	crise da dengue	-2	n prp n	Saúde
A duas semanas das eleições, situação em Honduras é indefinida	semanas das eleições	0	n prp n	Política e conflitos
Abin nega envolvimento no escândalo dos Correios do Brasil	envolvimento no escândalo	-2	n prp n	Política e conflitos
Aborto é problema de saúde pública, alerta Anistia Internacional	problema de saúde	-1	n prp n	Saúde
Abril Vermelho:MST inicia nova onda de ocupações no Brasil	onda de ocupações	-2	n prp n	Política e conflitos
Ação da polícia portuguesa no consulado brasileiro causa embaraço diplomático	ação da polícia	0	n prp n	Política e conflitos
Acidente com uma carreta e um ônibus causa pelo menos 15 mortes em Minas Gerais	mortes em minas	-3	n prp n	Saúde
Acidentes de viação são segunda causa de mortalidade em Angola	acidentes de viação	-2	n prp n	Saúde
Acidentes de viação são segunda causa de mortalidade em Angola	causa de mortalidade	-3	n prp n	Saúde
ACNUR adverte sobre o risco de desaparecimento de alguns povos indígenas na Colômbia	risco de desaparecimento	-2	n prp n	Política e conflitos
Ações da oposição boliviana afetam parcialmente envio de gás ao Brasil, admite Petrobras	ações da oposição	-1	n prp n	Economia e negócios
Ações da oposição boliviana afetam parcialmente envio de gás ao Brasil, admite Petrobras	envio de gás	0	n prp n	Política e conflitos
Ações de fiscalização sanitária são reforçadas na fronteira do Brasil com a Argentina, incluindo os caminhoneiros que entram no Rio Grande do Sul	ações de fiscalização	1	n prp n	Saúde
Acordão ameaça punição de culpados no escândalo do mensalão, no Brasil	escândalo do mensalão	-2	n prp n	Política e conflitos
Acordo de cooperação pode reduzir cesarianas em hospitais particulares do país	acordo de cooperação	2	n prp n	Saúde
Acordo de cooperação pode reduzir cesarianas em hospitais particulares do país	cesarianas em hospitais	0	n prp n	Saúde
