NewsHeadline	Phrase	SOHuman	Pattern	NewsCategory
15 de setembro de 2008: quebra do Lehman Brothers dá início à crise que abalou o mundo	abalou o mundo	-2	v-fin art n	Economia e negócios
Fred Thompson abandona a corrida pela Casa Branca	abandona a corrida	-1	v-fin art n	Política e conflitos
John Edwards abandona a corrida pela Casa Branca	abandona a corrida	-1	v-fin art n	Política e conflitos
Crise no Equador: Presidente abandona o cargo	abandona o cargo	-1	v-fin art n	Política e conflitos
Rei deposto do Nepal abandona palácio	abandona palácio	-1	v-fin n	Política e conflitos
Canadá abandona Protocolo de Kyoto para evitar multas milionárias por incumprimento	abandona protocolo	-2	v-fin n	Política e conflitos
Presidente chinês abandona reunião do G8 por conta das manifestações em Xinjiang	abandona reunião	-2	v-fin n	Política e conflitos
Eduardo Rodríguez disse que abandonará a Presidência da Bolívia se as eleições de Dezembro forem adiadas	abandonará a presidência	-1	v-fin art n	Política e conflitos
Atirador de Toulouse abatido a tiro	abatido a tiro	-3	v-pcp prp n	Política e conflitos
Anistia Internacional: Brasil ainda não "fechou feridas" abertas pela ditadura	abertas pela ditadura	-2	v-pcp prp n	Política e conflitos
MTV Brasil deixa ser transmitido em sinal aberto nas parabólicas	aberto nas parabólicas	0	v-pcp prp n	Economia e negócios
Mostra aborda disseminação do uso do tabaco e seu controle no país	aborda disseminação	1	v-fin n	Saúde
Argentina, México e Espanha abordam perspectivas econômicas na ONU	abordam perspectivas	1	v-fin n	Economia e negócios
Menina que foi estuprada e abortada aos nove anos recebe alta	abortada aos nove	-1	v-pcp prp num	Política e conflitos
Ebola: Guiné-Bissau abre campanha de limpeza em mercado da capital	abre campanha	1	v-fin n	Saúde
Dilma Rousseff abre desfile de Sete de Setembro em Brasília	abre desfile	1	v-fin n	Política e conflitos
Soldado norte-americano abre fogo contra moradores e mata dez no Afeganistão	abre fogo	-2	v-fin n	Saúde
Presidente Lula abre Fórum de Combate à Corrupção no Brasil	abre fórum	1	v-fin n	Política e conflitos
Aécio Neves abre mão de sua pré-candidatura pelo PSDB	abre mão	-1	v-fin n	Política e conflitos
Lula sobe para 51,4% e abre vantagem de 31,8 pontos sobre Alckmin	abre vantagem	1	v-fin n	Política e conflitos
Banco do Brasil e BNDES abrem escritório no Uruguai	abrem escritório	1	v-fin n	Economia e negócios
Câmara contraria Conselho e absolve dois deputados brasileiros acusados de envolvimento com o mensalão	absolve dois deputados	1	v-fin num n	Política e conflitos
Renan Calheiros é absolvido no Senado	absolvido no senado	1	v-pcp prp n	Política e conflitos
Italiano preso sob acusação de abusar da filha de 8 anos é transferido para hospital	abusar da filha	-2	v-inf prp n	Saúde
Visita de Sarkozy ao Oriente Médio acaba em tumulto	acaba em tumulto	-2	v-fin prp n	Política e conflitos
86% dos engenheiros agrônomos da UPCT encontram trabalho em um ano após acabar a carreira na Espanha	acabar a carreira	0	v-inf art n	Saúde
Brasil assume comando da Rio+20 decidido a acabar com controvérsias	acabar com controvérsias	2	v-inf prp n	Política e conflitos
Deputada quer acabar com palmada no bumbum	acabar com palmada	1	v-inf prp n	Política e conflitos
Em assembleia da OEA, Amorim defende criação de grupo para acabar com suspensão a Cuba	acabar com suspensão	2	v-inf prp n	Economia e negócios
LA Times diz que "mensalão vai acabar em pizza"	acabar em pizza	-1	v-inf prp n	Política e conflitos
EUA temem que armas vendidas para Venezuela acabem nas mãos de forças terroristas	acabem nas mãos	-1	v-fin prp n	Política e conflitos
Juros americanos caem, buscando acalmar o mercado	acalmar o mercado	1	v-inf art n	Economia e negócios
Manifestantes acampam em plenário da Assembleia Legislativa do DF	acampam em plenário	-1	v-fin prp n	Política e conflitos
Índios desocupam prédio da Funasa em São Paulo e acampam na rua	acampam na rua	-1	v-fin prp n	Saúde
Lula afirma que Brasil não acata ultimato de golpista	acata ultimato	1	v-fin n	Política e conflitos
Hillary Clinton aceita cargo no governo Obama	aceita cargo	1	v-fin n	Política e conflitos
No Guiné-Bissau, Kumba aceita derrota após Sanhá vencer	aceita derrota	1	v-fin n	Política e conflitos
Presidente do STF, o ministro Gilmar Mendes, aceita o pedido de habeas-corpus ao empresário Marcos Valério	aceita o pedido	2	v-fin art n	Economia e negócios
Governo colombiano aceita proposta de desmilitarização a fim de iniciar diálogos com as FARC	aceita proposta	2	v-fin n	Política e conflitos
Morales aceita referendo sobre seu mandato	aceita referendo	2	v-fin n	Política e conflitos
