NewsHeadline	Phrase	SOHuman	Pattern	NewsCategory
Suspeitos de fazer aborto clandestino no Rio são presos	aborto clandestino	-2	n, adj	
Entidades denunciam à OEA casos de abuso policial durante manifestações	abuso policial	-2	n, adj	
Professor acusado de abuso sexual contra adolescentes volta dar aulas em Portugal	abuso sexual	-2	n, adj	
No Brasil, associação entrou com ação civil pública contra Lula	ação civil	-1	n, adj	
Parlamento turco aprova ação militar no Iraque	ação militar	-1	n, adj	
Supremo Tribunal Federal rejeita ação popular que acusa presidente brasileiro de omissão	ação popular	1	n, adj	
Outra ação pública contra Lula é arquivada	ação pública	-1	n, adj	
Jornalista cubano faz greve de fome para ter acesso livre à internet	acesso livre	1	n, adj	
França interessada no modelo brasileiro de assistência às vítimas de acidente aéreo	acidente aéreo	-2	n, adj	
Acidente aéreo mata o presidente da Polônia e outras 95 na Rússia	acidente aéreo	-2	n, adj	
Japão eleva gravidade do acidente nuclear ao de Tchernobyl	acidente nuclear	-2	n, adj	
Presidente Levy Mwanawasa da Zâmbia morre aos 59 anos de acidente vascular cerebral	acidente vascular	-2	n, adj	
Presidente Levy Mwanawasa da Zâmbia morre aos 59 anos de acidente vascular cerebral	acidente vascular	-2	n, adj	
Comissão da Câmara aprova divulgação imediata de lista de passageiros após acidentes aéreos	acidentes aéreos	-2	n, adj	
Brasil pede garantia de que ações americanas se limitem ao território colombiano	ações americanas	0	n, adj	
Países da América do Sul devem adotar ações conjuntas contra crise econômica	ações conjuntas	1	n, adj	
Países da América do Sul devem adotar ações conjuntas contra crise econômica	ações conjuntas	1	n, adj	
Lula veta inclusão de ações orçamentárias para a Copa de 2014 no PAC incluídos na Lei de Diretrizes Orçamentárias	ações orçamentárias	0	n, adj	
Lula veta inclusão de ações orçamentárias para a Copa de 2014 no PAC incluídos na Lei de Diretrizes Orçamentárias	ações orçamentárias	0	n, adj	
Bolívia assina acordo antidrogas com Brasil e EUA	acordo antidrogas	1	n, adj	
Bolívia assina acordo antidrogas com Brasil e EUA	acordo antidrogas	1	n, adj	
Brasil e México fecham novo acordo automotivo	acordo automotivo	1	n, adj	
ONU espera alcançar novo acordo climático vinculativo ainda este ano	acordo climático	1	n, adj	
Lula e Merkel: "acordo ideal" não será possível na Conferência do Clima	acordo ideal	1	n, adj	
Ministros sul-americanos discutem dia 24 acordo militar entre Colômbia e Estados Unidos	acordo militar	1	n, adj	
Amorim culpa acordo militar entre Colômbia e EUA por tensões na região	acordo militar	1	n, adj	
Governo brasileiro teme acordo militar entre Estados Unidos e Colômbia	acordo militar	1	n, adj	
Ministros sul-americanos discutem dia 24 acordo militar entre Colômbia e Estados Unidos	acordo militar	1	n, adj	
Brasil e Argentina farão acordo nuclear	acordo nuclear	1	n, adj	
Brasil e Argentina farão acordo nuclear	acordo nuclear	1	n, adj	
Venezuela estuda acordo nuclear com o Brasil	acordo nuclear	1	n, adj	
Brasil e Portugal discutem em Lisboa implementação do acordo ortogrático	acordo ortogrático	0	n, adj	
Copenhague: COP-15 termina com declaração política e sem acordo prático	acordo prático	1	n, adj	
Copenhague: COP-15 termina com declaração política e sem acordo prático	acordo prático	1	n, adj	
Brasil e Jordânia assinam acordos bilaterais em diversas áreas	acordos bilaterais	1	n, adj	
Governos do Brasil e Holanda assinam acordos comerciais e dizem que o protecionismo vai agravar a ?Crise Financeira Internacional?	acordos comerciais	1	n, adj	
Governos do Brasil e Holanda assinam acordos comerciais e dizem que o protecionismo vai agravar a ?Crise Financeira Internacional?	acordos comerciais	1	n, adj	
Irã nega que ocupação de plataforma tenha sido acto hostil contra a Romênia	acto hostil	-1	n, adj	
Irã nega que ocupação de plataforma tenha sido acto hostil contra a Romênia	acto hostil	-1	n, adj	
Comissão de Juristas aprova proposta para punir criminalmente empresas por corrupção contra a administração pública	administração pública	0	n, adj	
Vacina contra HPV é aplicada em 43,7% das adolescentes paulistas	adolescentes paulistas	0	n, adj	
Agentes de segurança dos principais aeroportos franceses voltam ao trabalho após 11 dias em greve	aeroportos franceses	0	n, adj	
Aeroportuários brasileiros entram em greve por tempo indeterminado	aeroportuários brasileiros	0	n, adj	
Agência francesa assina acordo para financiar linha de trem entre Cumbica e São Paulo	agência francesa	0	n, adj	
Depois que Bush deixa a Rússia, jornalista de agência russa questiona intelecto do presidente	agência russa	0	n, adj	
Justiça manda Correios cancelarem edital de agências franqueadas	agências franqueadas	0	n, adj	
Agências humanitárias internacionais expressam preocupação com o conflito Israel-Hizbollah	agências humanitárias	1	n, adj	
Produção agrícola brasileira deve atingir mais de 139 milhões de toneladas, estima IBGE	agrícola brasileira	0	n, adj	
Água potável chega a Waku-Kungo	água potável	1	n, adj	
UE só decide em Copenhaga valor de ajuda ambiental a países mais pobres	ajuda ambiental	1	n, adj	
Portugal desmente necessidade de recorrer a ajuda externa para conter crise financeira	ajuda externa	1	n, adj	
Ajuda financeira aos países pobres pode ficar de fora de acordo sobre clima, diz Ban Ki-moon	ajuda financeira	1	n, adj	
Ajuda financeira aos países pobres pode ficar de fora de acordo sobre clima, diz Ban Ki-moon	ajuda financeira	1	n, adj	
Demanda da Geórgia para interromper a ajuda humanitária na Ossétia do Sul indigna Moscou	ajuda humanitária	1	n, adj	
Israel fará pausas de três horas por dia para envio de ajuda humanitária	ajuda humanitária	1	n, adj	
Forças de Defesa de Israel acusam Irã e Síria de fornecer ajuda militar para o Hizbollah	ajuda militar	1	n, adj	
Tribunal adia alegações finais do caso Cassule e Kamulingue	alegações finais	0	n, adj	
Granma destaca aliança estratégica entre Brasil e Venezuela	aliança estratégica	1	n, adj	
Granma destaca aliança estratégica entre Brasil e Venezuela	aliança estratégica	1	n, adj	
Bolívia e África do Sul farão aliança política, afirma Morales	aliança política	1	n, adj	
Secretário da ONU para as alterações climáticas apresenta demissão	alterações climáticas	-1	n, adj	
Portugueses já sentem na sua saúde efeitos das alterações climáticas	alterações climáticas	-1	n, adj	
Palestino lança o carro contra alvo militar e é morto a tiros em Israel	alvo militar	0	n, adj	
Palestino lança o carro contra alvo militar e é morto a tiros em Israel	alvo militar	0	n, adj	
OMS quer melhoria no ambiente alimentar para combate à obesidade	ambiente alimentar	1	n, adj	
Brasil faz apelo por ambiente pacífico nas eleições da Guiné-Bissau depois da morte de candidato	ambiente pacífico	1	n, adj	
Al Gore gasta mais energia num mês do que um americano médio num ano	americano médio	0	n, adj	
Pelo segundo ano consecutivo, Forbes posiciona Vladimir Putin como a pessoa mais poderosa do mundo	ano consecutivo	0	n, adj	
Pesquisadores do Butantan desenvolvem anti-inflamatório capaz de aliviar dores crônicas	anti-inflamatório capaz	1	n, adj	
Lula diz que não haverá apagão elétrico no Brasil	apagão elétrico	-1	n, adj	
Lula diz que não haverá apagão elétrico no Brasil	apagão elétrico	-1	n, adj	
Violência aumenta em Tegucigalpa, apesar de apelo internacional	apelo internacional	1	n, adj	
Zelaya agradece apoio brasileiro e pede mais firmeza da comunidade internacional	apoio brasileiro	1	n, adj	
FMI amplia apoio financeiro a países pobres	apoio financeiro	1	n, adj	
FMI amplia apoio financeiro a países pobres	apoio financeiro	1	n, adj	
Cristina Kirchner pede apoio latino-americano para a libertação de Ingrid Betancurt	apoio latino-americano	1	n, adj	
Austrália diz que dará apoio legal a fundador do WikiLeaks preso em Londres	apoio legal	1	n, adj	
Partido dos Trabalhadores pede apuração rigorosa da Lista de Furnas	apuração rigorosa	1	n, adj	
Físico da Universidade Harvard afirma que o site de busca Google contribui com aquecimento global	aquecimento global	-1	n, adj	
Políticos tentam acordo para demarcação de área indígena em Mato Grosso do Sul	área indígena	0	n, adj	
Mulher que vive em área pobre de Brasília não conhece proteção da Lei Maria da Penha	área pobre	-1	n, adj	
Brasil e Rússia firmam parceria para elaborar projetos nas áreas civil e de defesa	áreas civil	0	n, adj	
Fotos mostram atuação do Hizbollah em áreas civis	áreas civis	0	n, adj	
Shimon Peres elogia liderança brasileira na América Latina e firma acordos nas áreas jurídica e cinematográfica	áreas jurídica	0	n, adj	
