NewsHeadline	Phrase	SOHuman	Pattern	NewsCategory
José Alencar passa bem após sofrer a 15ª cirurgia	15ª cirurgia	0	adj n	Saúde
No 1º debate do segundo turno, Alckmin e Lula trocam duros ataques	1º debate	1	adj n	Política e conflitos
Bradesco obtém lucro recorde no 1º trimestre deste ano.	1º trimestre	0	adj n	Economia e negócios
Datafolha: Lula mantém vitória no 1º turno	1º turno	0	adj n	Política e conflitos
ELEIÇÕES 2006: Roraima define seu governador em 1º turno	1º turno	0	adj n	Política e conflitos
Portugal é o 2.º país europeu com mais infecções da Gripe A (H1N1)	2.º país	0	adj n	Saúde
Realizada a 26ª Conferência Regional da FAO	26ª conferência	0	adj n	Economia e negócios
Citigroup apresenta prejuízo de US$ 2,5 bi no 2º trimestre	2º trimestre	0	adj n	Economia e negócios
Tsvangirai desiste de participar do 2º turno presidencial no Zimbábue	2º turno	0	adj n	Política e conflitos
Aliados do Lula descartam a possibilidade de 3º mandato	3º mandato	0	adj n	Política e conflitos
Brasil melhora índices mas continua no 70º lugar em desenvolvimento humano	70º lugar	0	adj n	Saúde
Arquiteto Oscar Niemeyer recebe alta hospitalar após passar por duas cirurgias	alta hospitalar	1	adj n	Saúde
Estudantes anti-chavistas têm ampla vitória em eleições universitárias	ampla vitória	2	adj n	Política e conflitos
Partido de Koizumi tem ampla vitória nas eleições legislativas no Japão	ampla vitória	2	adj n	Política e conflitos
Morre aos 98 anos, o antigo combatente da Resistência Francesa e historiador francês, Jean-Louis Crémieux-Brilhac	antigo combatente	0	adj n	Saúde
Morre Jaafar Nimeiri, antigo presidente do Sudão	antigo presidente	0	adj n	Saúde
O antigo presidente indonésio Suharto, está em estado grave	antigo presidente	0	adj n	Política e conflitos
STF julga hoje o ex-ministro e atual deputado federal Antonio Palocci, acusado de ter ordenado violar sigilo do caseiro Francenildo da Costa	atual deputado	0	adj n	Política e conflitos
Passagem Aérea: Ex-Senador e atual Vice-Governador do Maranhão é o recordista das viagens dos ex-senadores	atual vice-governador	0	adj n	Economia e negócios
ONU e Banco Mundial atribuem a biocombustível parte da culpa por alta dos alimentos	biocombustível parte	0	adj n	Economia e negócios
Alencar apresenta boa condição geral de saúde, diz boletim médico	boa condição	2	adj n	Política e conflitos
Modelo de partilha da produção do pré-sal é uma boa ideia, avalia Pinguelli Rosa, da UFRJ	boa ideia	2	adj n	Economia e negócios
Cuba: em mensagem lida na televisão Fidel diz estar bem e com bom ânimo	bom ânimo	2	adj n	Política e conflitos
Copenhague: EUA prometem bom senso para controlar emissões	bom senso	2	adj n	Política e conflitos
